rara_id	birth_date	death_date
a12786986	1950	NA
a12794363	1950	NA
a12394312	1950	NA
a12273405	1950	NA
a12145932	1950	NA
a12151361	NA	2021
a12504129	1985	NA
a12517446	1950	NA
a12155950	NA	2021
a12515024	1950	NA
a12150083	2000	NA
a12567930	1972	NA
a1251651x	1950	NA
a12198602	1955	NA
a11938663	1950	NA
a12082971	1966	NA
a12240230	1992	NA
a12560352	1900	NA
a1256185x	1650	NA
a12561873	1950	NA
a12240229	2000	NA
a12196654	1960	NA
a12240461	1939	NA
a12200967	1900	NA
a12562956	NA	2024
a12560157	NA	2025
a11127132	1610	NA
a12670443	2000	NA
a1219315x	1965	NA
a12559313	2000	NA
a12668370	NA	1932
a11229834	900	NA
a11557527	1865	1937
a12562543	1900	NA
a11540291	1602	1676
a12190901	NA	2023
a12563626	1950	NA
a11937300	1975	NA
a12672646	2000	NA
a12672889	1950	NA
a12560790	1954	2022
a11129530	NA	1951
a11540072	NA	2021
a12559337	1900	NA
a12242603	NA	2021
a11960577	1922	1991
a12669209	1900	NA
a12563845	1977	NA
a12242111	1971	NA
a12190913	1977	NA
a12671733	1964	NA
a11538727	1957	NA
a12671976	1950	NA
a12217232	1900	NA
a12437748	1950	NA
a1250998x	1976	NA
a12544103	1950	NA
a12543470	1950	NA
a12535618	1950	NA
a1253450x	1900	NA
a12543494	1950	NA
a12541072	1900	NA
a12218285	2000	NA
a12437566	1960	NA
a12541047	1950	NA
a12536933	1950	NA
a12534754	1950	NA
a12096702	NA	2021
a12544322	2000	NA
a1243730x	1950	NA
a12534705	1975	NA
a1221825x	1200	1263
a12534948	1950	NA
a12101345	NA	2020
a1254386x	2000	NA
a12223839	NA	2024
a12537834	1981	NA
a12100043	1950	NA
a12222987	1950	NA
a12538930	1943	NA
a12438881	NA	2024
a12543652	1978	NA
a12544504	1983	NA
a12542568	2000	NA
a1250130x	2000	NA
a12535886	NA	2025
a12539181	1900	NA
a12544127	1936	NA
a12442264	2000	NA
a12435739	1950	NA
a12544516	1950	NA
a12541485	2000	NA
a12534717	1950	NA
a12541266	1900	NA
a1244201x	1950	NA
a12436835	1964	NA
a12221880	1975	NA
a1243596x	NA	1823
a12544309	1978	NA
a11462905	1700	NA
a11469535	NA	2002
a11589723	NA	2002
a11439269	525	NA
a11436888	1700	NA
a12183325	1950	NA
a11438848	1700	NA
a12364101	1977	NA
a11435550	1292	NA
a11592928	1946	NA
a11266545	NA	2011
a12180063	1647	NA
a12709979	1950	NA
a12718695	1964	NA
a11590506	700	NA
a12349380	1900	NA
a12368933	1926	NA
a12343833	1948	NA
a12628001	2000	NA
a11438447	1600	NA
a12364575	1950	NA
a1181049x	NA	2019
a1158208x	1947	NA
a1115780x	NA	2017
a11439543	1600	NA
a11156983	NA	2022
a11427358	NA	2022
a12364319	1956	NA
a12628025	1900	NA
a12629716	1973	NA
a12348089	1925	2017
a12624901	1988	NA
a12630937	1950	NA
a12628037	1900	NA
a12374362	NA	2024
a12187355	1910	NA
a12548832	NA	1625
a12373278	1950	NA
a12185127	1900	NA
a12563420	1900	NA
a12628281	1981	NA
a12628049	1900	NA
a1255862x	1962	NA
a12374337	NA	2024
a11808251	NA	2023
a11472753	465	528
a12720082	1950	NA
a11590750	1500	NA
a12345829	1950	NA
a12364538	1900	NA
a11479395	NA	1942
a11469109	NA	2009
a11418230	NA	2022
a12345830	1950	NA
a12372171	1914	NA
a12556373	1953	NA
a12188220	1950	NA
a12343894	NA	1979
a11473617	NA	1994
a11808275	NA	2025
a12364526	1900	NA
a12364769	NA	2022
a12335496	1700	1815
a11578877	NA	2018
a12174208	1988	NA
a12077872	1950	NA
a12409455	1950	NA
a12409698	1981	NA
a12419291	1965	NA
a12170495	NA	2022
a11250781	1506	NA
a12172005	1900	NA
a1207407x	1955	NA
a1150089x	NA	2020
a11182027	NA	2021
a12583169	1550	NA
a11881136	NA	1955
a11183354	NA	2025
a12440280	1950	NA
a1277831x	1950	NA
a11770065	NA	2019
a12780868	1969	NA
a11496794	NA	2023
a12583170	NA	1985
a11199751	-50	-15
a1113415x	NA	2024
a12582463	1980	NA
a11483489	NA	2013
a12763366	NA	2024
a11488931	NA	2008
a11898112	NA	2018
a12581380	1949	NA
a11900751	1000	NA
a11500220	1943	NA
a12584873	1712	NA
a1244151x	1950	NA
a1278459x	1833	NA
a12581367	1953	NA
a1258485x	1724	1747
a12438352	1950	NA
a12773189	2000	NA
a11483477	NA	2019
a11564933	1700	NA
a11899360	NA	2021
a12438340	1950	NA
a12585956	1943	NA
a11484317	1950	NA
a1277389x	1950	NA
a11387622	NA	2025
a12582207	1690	NA
a12764012	1950	NA
a11884216	NA	2024
a12782476	1950	NA
a12435016	1950	NA
a11182064	NA	2011
a11482126	NA	2009
a12579063	1969	NA
a12435478	1950	NA
a1258132x	NA	1997
a11483453	1482	1557
a12258532	1953	NA
a12409339	1950	NA
a11381814	1934	NA
a12055657	1962	NA
a12646830	1800	NA
a12415807	1494	1552
a12256110	1950	NA
a12058439	1955	NA
a12254903	1636	NA
a12059523	2100	NA
a1245705x	1900	NA
a12459057	1900	NA
a1199843x	NA	2022
a12460035	NA	2004
a1225437x	1950	NA
a12459288	1950	NA
a12406491	1693	NA
a12056091	1975	NA
a12253649	1965	NA
a12000784	NA	2020
a12408682	1966	NA
a1138718x	1900	1951
a12652234	NA	1999
a12050337	2004	NA
